customer_id,age,gender
CD2D7AD5,25,Female
115DC547,22,Male
8E9D9260,23,Female
74583350,26,Male
EAC86239,28,Male
AEF6B013,34,Female
BEA4D35A,26,Male
B7B38367,28,Male
C0E77DD0,33,Male
E4C506A8,24,Male
AAE957B0,24,Male
65D61441,29,Male
C2393E0A,21,Female
045456CE,27,Female
1AD8092F,17,Female
A8EBE15D,23,Male
1A74604F,28,Female
5C7E691C,24,Male
7A8E2633,19,Male
235072E4,19,Male
2868553A,30,Male
F1019B25,29,Male
982B4383,25,Male
DFF05FF8,17,Male
267CB3F3,27,Female
9BF3937F,24,Female
349D0370,31,Female
077D8700,22,Female
2427D99E,26,Female
50052B84,16,Female
9334A932,19,Male
30869D56,27,Female
412BC15E,24,Female
7E796C95,23,Female
4889394F,26,Male
DFA91C7F,19,Female
FDF4B41D,28,Female
ADADD212,23,Male
B26F4C2C,26,Female
35921AC4,20,Female
0449FE2F,22,Female
D04B5EB2,33,Female
F5B13597,27,Female
ADEC6F2D,22,Male
341BDE4D,27,Female
7A3548B4,26,Male
6A05F8C2,35,Male
3B558A80,25,Female
32110D28,15,Male
A6110C01,27,Female
46148DFB,40,Female
AAE8D71B,21,Female
7F5B6455,25,Female
1F8563C6,20,Male
A0B84464,29,Female
B01CE4F2,24,Female
A571845A,29,Male
FC821B66,20,Male
C8D925E1,39,Male
CFD3C52D,34,Female
B0F14189,34,Female
FA9A097F,21,Male
5308BD72,26,Male
A6255CD1,19,Female
4B9717A0,24,Male
54DE1417,30,Female
1D43C364,26,Female
2250A8D3,25,Male
A565DEE6,24,Female
484F6609,31,Female
DEFA5BD2,24,Male
579B2AAD,33,Male
31E1ECA9,25,Male
EA585A99,27,Male
ACCFBCD1,31,Female
E1DF6E0F,24,Female
F94630F3,32,Female
53D1611C,37,Male
00314576,21,Male
F39EDACC,18,Male
095BB024,27,Male
9914AAB1,26,Male
B00C6A64,29,Male
B404B85F,34,Male
D3F5B2C1,32,Male
6B959A5C,31,Male
42798035,23,Female
A3E466EC,27,Male
BE21200C,29,Male
8DBF45C9,30,Female
325ED779,24,Male
FA396B04,39,Male
32507650,20,Male
4A52A432,40,Male
2C91890C,23,Male
6CF58875,33,Female
A8953E33,31,Female
C540B7CE,32,Male
D815F540,24,Female
2285933A,26,Female
0C45F25A,26,Female
3AD82C26,28,Female
3C158C4F,18,Male
BCAE159E,31,Female
831D8EEA,24,Male
11AD5E4F,21,Male
2EE3ACC5,31,Female
6C18B791,33,Male
3C5B5F80,23,Male
25A9EA71,25,Male
CB859A41,30,Female
7E8B8C88,33,Female
F84EC74E,28,Female
2A04D716,30,Female
2271824B,30,Male
A21489D6,21,Female
600BD346,23,Male
F5A03819,39,Female
FE2B7109,20,Female
DCD44E61,22,Male
C6250D4B,24,Female
48EE0EAD,22,Male
CC8308F9,28,Male
93FA12EF,19,Male
10D27C77,16,Male
9CCF8F18,36,Female
E40BB9E4,44,Male
E3E7F015,31,Female
789929D3,28,Male
12B2C6CE,26,Female
1739F84D,26,Male
9CBE92F8,21,Female
AADFAFE5,27,Male
3985E759,29,Male
A4F382E0,27,Female
32A5813C,22,Female
234F2825,20,Male
1E4F714C,21,Male
7ECCFC2B,23,Male
66B6C23D,19,Female
DDB29F3A,25,Male
95319CFB,26,Male
5B60A465,33,Male
58926533,20,Male
5F5DB90E,30,Female
EC5BD1AD,22,Female
6A4B62DF,21,Male
E8C7C76C,24,Female
37AFF960,21,Female
C04AE00D,24,Male
98849E9A,22,Male
94E896C2,25,Male
4B88B56A,29,Female
D5291D57,40,Male
204692A8,30,Male
E89AE308,28,Female
22FC6E2C,24,Female
CC75594D,19,Female
31CADB63,31,Female
C3CB585B,21,Male
2CD8699B,27,Female
7C173B9A,38,Female
DA5DCADA,34,Female
CC6B3CC4,31,Female
79C548A8,31,Male
2CCE0677,32,Male
D12A88D5,23,Male
5A1CE82B,25,Female
AA0042FD,21,Female
E8AC4BD7,24,Female
3BCF2BDC,30,Female
AE1AD0DF,37,Male
EF5E5139,21,Male
636C30B4,22,Female
24B7F770,19,Female
BC9B74E7,18,Female
9F4DBC3B,29,Female
DBA0D9A0,36,Female
E302C2A5,21,Male
EA385B5E,31,Male
A7809AF2,21,Male
2F3BB3DA,39,Male
993B3936,24,Female
6B647BEB,25,Male
0F118A2F,18,Male
A129EB0B,26,Female
2D5C575D,28,Male
DAB2D1FA,30,Female
1E287190,20,Female
52FEAC8B,30,Male
3F24B238,26,Male
72CE5B65,37,Female
DFA9EE26,21,Female
0791AA0F,36,Male
18F26472,22,Male
DB047B3E,21,Male
4D07D70C,28,Male
D40D6C6C,19,Male
16232C94,36,Male
4B2FD902,21,Female
B4B4AC1D,31,Female
426456E2,36,Male
9EB96E38,22,Female
F913C25D,16,Male
57081365,25,Female
3E6A0F18,23,Male
04AC59B4,31,Female
4249E377,26,Male
47CFBEC1,19,Male
8D60357A,27,Female
D4D32953,27,Male
0C6F0FD1,33,Male
43E22560,24,Male
D90B0701,29,Female
70CB4594,33,Male
6E1A1609,27,Male
5D34CFD8,25,Male
78E9DFB1,24,Female
CA673AB9,26,Male
97249C1B,29,Female
211DF372,19,Male
D500C75D,19,Female
98DD86D0,22,Male
F4704AF2,26,Male
BB8C1EF4,29,Male
A343137B,35,Female
FFC9DFF5,21,Male
3C5AF7F6,21,Female
D2EF8911,32,Female
F32F4D46,18,Female
567F7257,18,Female
00E0BDF7,35,Male
58F203B6,38,Female
49BE3F91,19,Female
0BB0A033,22,Male
3F648358,20,Female
4F84BF12,21,Female
5C47AF2B,19,Female
D18E4AED,30,Female
92C4189A,41,Male
FCAAE665,24,Female
F016627B,19,Male
5A8CD588,22,Male
EC65AC9A,23,Female
